Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
132        104             26.708            27.002            26.708            41.497            0                 
133        342             26.724            27.018            26.724            188.772           0                 
134        146             26.76             27.054            26.76             213.861           0                 
135        377             26.819            27.113            26.819            145.541           0                 
136        262             26.855            27.149            26.855            150.175           0                 
137        79              26.868            27.19             26.868            73.417            0                 
138        140             26.923            27.217            26.923            146.456           0                 
139        266             27.08             27.402            27.08             215.386           0                 
140        230             27.11             27.418            27.11             58.016            0                 
141        427             27.392            27.7              27.392            357.068           0                 
142        61              27.489            27.797            27.489            479.923           0                 
143        127             28.391            28.713            28.391            77.146            0                 
144        159             28.507            28.913            28.507            11.842            0                 
145        190             28.895            29.231            28.895            288.004           0                 
146        354             28.951            29.357            28.951            243.069           0                 
147        308             29.01             29.332            29.01             164.693           0                 
148        253             29.117            29.453            29.117            307.413           0                 
149        125             29.22             29.57             29.22             353.905           0                 
150        452             29.869            30.205            29.869            34.5              0                 
151        182             31.38             31.772            31.38             205.576           0                 
152        257             31.992            32.356            31.992            229.754           0                 
153        379             32.158            32.536            32.158            139.21            0                 
154        456             32.184            32.646            32.184            25.394            0                 
155        295             33.144            33.55             33.144            244.256           0                 
156        248             33.218            33.694            33.218            270.856           0                 
157        213             33.6              33.992            33.6              246.585           0                 
158        149             33.638            34.058            33.638            547.709           0                 
159        415             33.712            34.118            33.712            131.011           0                 
160        384             33.955            34.361            33.955            264.346           0                 
161        340             33.956            34.334            33.956            158.195           0                 
162        321             34.413            34.819            34.413            132.296           0                 
163        74              35.142            35.562            35.142            320.963           0                 
164        376             35.718            36.152            35.718            112.369           0                 
165        256             36.383            36.901            36.383            192.988           0                 
166        396             36.718            37.236            36.718            13.823            0                 
167        290             36.771            37.219            36.771            213.422           0                 
168        111             37.43             37.878            37.43             249.028           0                 
169        247             37.685            38.133            37.685            261.575           0                 
170        41              38.768            39.23             38.768            130.359           0                 
171        19              38.988            39.464            38.988            30.094            0                 
172        445             39.667            40.157            39.667            545.833           0                 
173        220             39.942            40.502            39.942            14.081            0                 
174        245             40.501            40.991            40.501            331.178           0                 
175        246             41.077            41.581            41.077            272.365           0                 
176        243             41.183            41.687            41.183            219.347           0                 
177        360             41.996            42.584            41.996            12.152            0                 
178        311             42.06             42.578            42.06             315.736           0                 
179        441             42.398            42.93             42.398            134.888           0                 
180        382             42.837            43.439            42.837            14.494            0                 
181        242             42.938            43.442            42.938            245.676           0                 
182        235             43.436            43.954            43.436            277.661           0                 
183        398             44.732            45.278            44.732            114.059           0                 
184        64              45.599            46.159            45.599            376.687           0                 
185        32              46.042            46.63             46.042            83.052            0                 
186        238             46.331            46.905            46.331            262.197           0                 
187        143             46.352            46.94             46.352            376.882           0                 
188        426             48.47             49.086            48.47             150.943           0                 
189        250             48.789            49.405            48.789            52.745            0                 
190        209             48.852            49.454            48.852            243.057           0                 
191        416             48.901            49.489            48.901            530.742           0                 
192        406             49.209            49.839            49.209            475.373           0                 
193        310             49.574            50.19             49.574            51.586            0                 
194        331             49.739            50.439            49.739            13.762            0                 
195        325             52.223            52.881            52.223            337.037           0                 
196        435             53.122            53.878            53.122            15.246            0                 
197        123             53.168            53.84             53.168            116.951           0                 
198        20              53.227            53.885            53.227            93.932            0                 
199        160             53.855            54.611            53.855            15.53             0                 
200        225             54.367            55.067            54.367            222.428           0                 
201        83              54.417            55.103            54.417            259.818           0                 
202        124             55.717            56.417            55.717            279.56            0                 
203        210             55.852            56.538            55.852            244.043           0                 
204        25              56.306            57.034            56.306            87.416            0                 
205        45              57.348            58.062            57.348            239.497           0                 
206        223             57.668            58.41             57.668            474.074           0                 
207        7               58.685            59.427            58.685            41.951            0                 
208        211             58.692            59.518            58.692            21.723            0                 
209        317             59.863            60.619            59.863            49.767            0                 
210        244             60.06             60.844            60.06             343.359           0                 
211        322             60.234            61.004            60.234            127.876           0                 
212        175             60.577            61.375            60.577            237.895           0                 
213        150             60.874            61.644            60.874            111.735           0                 
214        387             61.129            61.927            61.129            142.908           0                 
215        27              61.331            62.129            61.331            26.472            0                 
216        187             61.506            62.374            61.506            14.485            0                 
217        408             62.464            63.262            62.464            210.468           0                 
218        425             62.84             63.638            62.84             371.828           0                 
219        168             62.96             63.758            62.96             358.592           0                 
220        84              64.189            65.099            64.189            37.736            0                 
221        214             64.315            65.141            64.315            41.561            0                 
222        97              64.64             65.452            64.64             70.578            0                 
223        106             65.734            66.588            65.734            352.048           0                 
224        254             66.732            67.6              66.732            470.825           0                 
225        278             67.031            67.899            67.031            70.753            0                 
226        434             67.545            68.497            67.545            24.014            0                 
227        204             67.973            68.841            67.973            134.74            0                 
228        395             68.227            69.109            68.227            85.39             0                 
229        279             68.303            69.185            68.303            48.082            0                 
230        233             69.021            69.917            69.021            190.572           0                 
231        437             69.085            69.981            69.085            29.09             0                 
232        318             69.173            70.069            69.173            187.112           0                 
233        55              70.135            71.073            70.135            258.117           0                 
234        178             70.476            71.386            70.476            235.713           0                 
235        193             70.974            71.884            70.974            236.813           0                 
236        448             71.065            72.003            71.065            107.809           0                 
237        337             71.131            72.055            71.131            149.262           0                 
238        273             71.577            72.487            71.577            232.226           0                 
239        142             75.704            76.684            75.704            162.996           0                 
240        53              76.395            77.403            76.395            248.6             0                 
241        65              76.523            77.531            76.523            201.633           0                 
242        457             76.686            77.666            76.686            107.075           0                 
243        364             76.762            77.77             76.762            199.75            0                 
244        461             76.86             77.882            76.86             51.653            0                 
245        195             77.197            78.289            77.197            16.398            0                 
246        299             78.171            79.221            78.171            71.391            0                 
247        301             78.434            79.54             78.434            34.73             0                 
248        46              78.511            79.533            78.511            242.226           0                 
249        153             79.943            81.063            79.943            16.003            0                 
250        15              81.385            82.463            81.385            141.673           0                 
251        309             81.631            82.709            81.631            186.94            0                 
252        33              85.074            86.208            85.074            61.151            0                 
253        282             86.9              88.118            86.9              129.826           0                 
254        122             96.429            97.703            96.429            216.27            0                 
255        367             98.985            100.301           98.985            153.581           0                 
256        208             100.994           102.408           100.994           18.142            0                 
257        438             112.954           114.452           112.954           221.533           0                 
258        265             117.236           118.804           117.236           145.558           0                 
259        385             121.26            122.898           121.26            358.12            0                 
260        40              132.923           134.687           132.923           444.124           0                 
261        199             134.755           136.547           134.755           164.735           0                 
262        166             144.828           146.858           144.828           152.814           0                 
263        304             162.378           164.66            162.378           246.927           0                 
264        59              163.335           165.547           163.335           99.644            0                 
265        161             164.3             166.54            164.3             134.437           0                 
266        136             165.797           168.037           165.797           108.484           0                 
267        293             172.797           175.149           172.797           291.303           0                 
268        107             174.282           176.648           174.282           306.811           0                 
269        459             174.482           176.932           174.482           36.466            0                 
270        363             180.808           183.258           180.808           184.244           0                 
271        328             180.878           183.342           180.878           150.192           0                 
272        280             181.724           184.188           181.724           161.782           0                 
273        72              183.555           186.047           183.555           270.141           0                 
274        203             183.744           186.32            183.744           40.408            0                 
275        288             183.889           186.367           183.889           80.972            0                 
276        339             190.182           192.786           190.182           60.286            0                 
277        177             192.258           194.876           192.258           148.574           0                 
278        401             192.565           195.197           192.565           117.749           0                 
279        237             193.966           196.584           193.966           531.983           0                 
280        399             194.534           197.194           194.534           98.409            0                 
281        194             197.9             200.602           197.9             208.373           0                 
282        81              203.243           206.029           203.243           345.048           0                 
283        263             203.803           206.589           203.803           450.668           0                 
284        287             217.766           220.818           217.766           180.123           0                 
285        368             241.787           245.175           241.787           37.97             0                 
286        133             273.435           277.201           273.435           122.639           0                 
287        258             277.888           281.696           277.888           239.895           0                 
288        44              313.813           318.125           313.813           462.124           0                 
289        463             366.81            371.878           366.81            155.9             0                 
290        390             371.774           376.898           371.774           191.163           0                 
291        173             373.551           378.731           373.551           71.277            0                 
292        188             408.806           414.434           408.806           173.771           0                 
293        205             425.527           431.407           425.527           182.932           0                 
294        18              464.577           471.017           464.577           339.664           0                 
295        116             468.177           474.659           468.177           340.354           0                 
296        155             520.9             528.138           520.9             661.942           0                 
297        338             547.199           554.801           547.199           464.848           0                 
298        298             568.9             576.796           568.9             520.34            0                 
299        394             579.43            587.48            579.43            285.882           0                 
300        105             580.381           588.417           580.381           696.772           0                 
