Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
132        104             26.708            26.708            26.708            14.963            0                 
133        342             26.724            26.724            26.724            16.326            0                 
134        146             26.76             26.76             26.76             16.99             0                 
135        377             26.819            26.819            26.819            14.867            0                 
136        262             26.855            26.855            26.855            16.956            0                 
137        79              26.868            26.868            26.868            16.78             0                 
138        140             26.923            26.923            26.923            14.871            0                 
139        266             27.08             27.08             27.08             14.643            0                 
140        230             27.11             27.11             27.11             14.716            0                 
141        427             27.392            27.392            27.392            10.473            0                 
142        61              27.489            27.489            27.489            14.921            0                 
143        127             28.391            28.391            28.391            18.108            0                 
144        159             28.507            28.507            28.507            10.593            0                 
145        190             28.895            28.895            28.895            15.837            0                 
146        354             28.951            28.951            28.951            15.689            0                 
147        308             29.01             29.01             29.01             18.811            0                 
148        253             29.117            29.117            29.117            14.866            0                 
149        125             29.22             29.22             29.22             15.3              0                 
150        452             29.869            29.869            29.869            10.886            0                 
151        182             31.38             31.38             31.38             14.997            0                 
152        257             31.992            31.992            31.992            10.908            0                 
153        379             32.158            32.158            32.158            17.896            0                 
154        456             32.184            32.184            32.184            10.976            0                 
155        295             33.144            33.144            33.144            15.388            0                 
156        248             33.218            33.218            33.218            10.97             0                 
157        213             33.6              33.6              33.6              17.624            0                 
158        149             33.638            33.638            33.638            18.257            0                 
159        415             33.712            33.712            33.712            15.209            0                 
160        384             33.955            33.955            33.955            15.24             0                 
161        340             33.956            33.956            33.956            15.409            0                 
162        321             34.413            34.413            34.413            17.583            0                 
163        74              35.142            35.142            35.142            15.608            0                 
164        376             35.718            35.718            35.718            15.35             0                 
165        256             36.383            36.383            36.383            11.698            0                 
166        396             36.718            36.718            36.718            11.345            0                 
167        290             36.771            36.771            36.771            12.941            0                 
168        111             37.43             37.43             37.43             20.171            0                 
169        247             37.685            37.685            37.685            15.514            0                 
170        41              38.768            38.768            38.768            18.555            0                 
171        19              38.988            38.988            38.988            11.506            0                 
172        445             39.667            39.667            39.667            17.518            0                 
173        220             39.942            39.942            39.942            11.535            0                 
174        245             40.501            40.501            40.501            15.812            0                 
175        246             41.077            41.077            41.077            17.234            0                 
176        243             41.183            41.183            41.183            16.323            0                 
177        360             41.996            41.996            41.996            11.814            0                 
178        311             42.06             42.06             42.06             16.088            0                 
179        441             42.398            42.398            42.398            15.99             0                 
180        382             42.837            42.837            42.837            12.474            0                 
181        242             42.938            42.938            42.938            17.008            0                 
182        235             43.436            43.436            43.436            16.006            0                 
183        398             44.732            44.732            44.732            18.942            0                 
184        64              45.599            45.599            45.599            16.494            0                 
185        32              46.042            46.042            46.042            16.455            0                 
186        238             46.331            46.331            46.331            22.039            0                 
187        143             46.352            46.352            46.352            13.825            0                 
188        426             48.47             48.47             48.47             16.701            0                 
189        250             48.789            48.789            48.789            16.7              0                 
190        209             48.852            48.852            48.852            16.871            0                 
191        416             48.901            48.901            48.901            19.777            0                 
192        406             49.209            49.209            49.209            27.471            0                 
193        310             49.574            49.574            49.574            12.386            0                 
194        331             49.739            49.739            49.739            12.355            0                 
195        325             52.223            52.223            52.223            18.819            0                 
196        435             53.122            53.122            53.122            12.674            0                 
197        123             53.168            53.168            53.168            16.905            0                 
198        20              53.227            53.227            53.227            16.828            0                 
199        160             53.855            53.855            53.855            14.097            0                 
200        225             54.367            54.367            54.367            18.659            0                 
201        83              54.417            54.417            54.417            12.81             0                 
202        124             55.717            55.717            55.717            21.244            0                 
203        210             55.852            55.852            55.852            17.466            0                 
204        25              56.306            56.306            56.306            17.304            0                 
205        45              57.348            57.348            57.348            21.911            0                 
206        223             57.668            57.668            57.668            19.482            0                 
207        7               58.685            58.685            58.685            18.277            0                 
208        211             58.692            58.692            58.692            17.343            0                 
209        317             59.863            59.863            59.863            18.803            0                 
210        244             60.06             60.06             60.06             17.583            0                 
211        322             60.234            60.234            60.234            13.368            0                 
212        175             60.577            60.577            60.577            29.503            0                 
213        150             60.874            60.874            60.874            18.916            0                 
214        387             61.129            61.129            61.129            17.621            0                 
215        27              61.331            61.331            61.331            17.792            0                 
216        187             61.506            61.506            61.506            13.411            0                 
217        408             62.464            62.464            62.464            17.671            0                 
218        425             62.84             62.84             62.84             19.699            0                 
219        168             62.96             62.96             62.96             17.835            0                 
220        84              64.189            64.189            64.189            13.621            0                 
221        214             64.315            64.315            64.315            20.027            0                 
222        97              64.64             64.64             64.64             17.894            0                 
223        106             65.734            65.734            65.734            18.52             0                 
224        254             66.732            66.732            66.732            23.987            0                 
225        278             67.031            67.031            67.031            23.618            0                 
226        434             67.545            67.545            67.545            22.396            0                 
227        204             67.973            67.973            67.973            18.3              0                 
228        395             68.227            68.227            68.227            18.214            0                 
229        279             68.303            68.303            68.303            23.554            0                 
230        233             69.021            69.021            69.021            18.321            0                 
231        437             69.085            69.085            69.085            19.48             0                 
232        318             69.173            69.173            69.173            26.023            0                 
233        55              70.135            70.135            70.135            21.386            0                 
234        178             70.476            70.476            70.476            14.317            0                 
235        193             70.974            70.974            70.974            22.521            0                 
236        448             71.065            71.065            71.065            18.363            0                 
237        337             71.131            71.131            71.131            18.86             0                 
238        273             71.577            71.577            71.577            15.411            0                 
