Index     FlowId          Size              Sent              Recv              FCT               PfcDur            
0          192             0.003             0.003             0.003             12.044            0                 
1          344             0.14              0.14              0.14              12.359            0                 
2          913             0.148             0.148             0.148             12.322            0                 
3          148             0.188             0.188             0.188             16.061            0                 
4          770             0.23              0.23              0.23              12.405            0                 
5          497             0.257             0.257             0.257             12.203            0                 
6          24              0.277             0.277             0.277             21.98             0                 
7          70              0.38              0.38              0.38              12.514            0                 
8          234             0.783             0.783             0.783             31.661            0                 
9          624             0.785             0.785             0.785             8.251             0                 
10         774             0.815             0.815             0.815             8.222             0                 
11         182             0.877             0.877             0.877             12.465            0                 
12         485             0.889             0.889             0.889             34.066            0                 
13         476             0.925             0.925             0.925             8.248             0                 
14         639             0.958             0.958             0.958             12.465            0                 
15         238             0.987             0.987             0.987             83.527            0                 
16         852             1.129             1.129             1.129             12.55             0                 
17         281             1.167             1.167             1.167             9.325             0                 
18         609             1.189             1.189             1.189             12.597            0                 
19         566             1.251             1.251             1.251             12.54             0                 
20         291             1.262             1.262             1.262             12.458            0                 
21         319             1.265             1.265             1.265             12.562            0                 
22         8               1.334             1.334             1.334             12.509            0                 
23         158             1.367             1.367             1.367             23.623            0                 
24         224             1.39              1.39              1.39              13.976            0                 
25         593             1.527             1.527             1.527             47.918            0                 
26         519             1.563             1.563             1.563             23.889            0                 
27         111             1.59              1.59              1.59              42.296            0                 
28         513             1.711             1.711             1.711             12.493            0                 
29         606             1.745             1.745             1.745             12.587            0                 
30         409             1.818             1.818             1.818             8.328             0                 
31         332             1.9               1.9               1.9               12.521            0                 
32         221             2.004             2.004             2.004             8.454             0                 
33         717             2.033             2.033             2.033             18.676            0                 
34         189             2.107             2.107             2.107             12.661            0                 
35         318             2.145             2.145             2.145             8.601             0                 
36         371             2.182             2.182             2.182             12.826            0                 
37         68              2.192             2.192             2.192             24.226            0                 
38         911             2.217             2.217             2.217             8.578             0                 
39         213             2.287             2.287             2.287             12.73             0                 
40         98              2.314             2.314             2.314             13.138            0                 
41         443             2.389             2.389             2.389             8.53              0                 
42         208             2.454             2.454             2.454             12.553            0                 
43         866             2.522             2.522             2.522             23.978            0                 
44         261             2.528             2.528             2.528             8.491             0                 
45         125             2.55              2.55              2.55              18.829            0                 
46         529             2.689             2.689             2.689             12.873            0                 
47         206             2.926             2.926             2.926             12.603            0                 
48         280             2.957             2.957             2.957             8.47              0                 
49         922             2.972             2.972             2.972             17.775            0                 
50         149             2.981             2.981             2.981             13.144            0                 
51         396             3.03              3.03              3.03              12.831            0                 
52         130             3.145             3.145             3.145             19.351            0                 
53         296             3.172             3.172             3.172             65.628            0                 
54         767             3.229             3.229             3.229             21.126            0                 
55         316             3.235             3.235             3.235             12.687            0                 
56         324             3.328             3.328             3.328             12.627            0                 
57         783             3.414             3.414             3.414             12.731            0                 
58         56              3.433             3.433             3.433             12.943            0                 
59         939             3.456             3.456             3.456             8.459             0                 
60         312             3.457             3.457             3.457             18.766            0                 
61         486             3.574             3.574             3.574             34.677            0                 
62         906             3.759             3.759             3.759             12.946            0                 
63         248             4.01              4.01              4.01              8.739             0                 
64         284             4.289             4.289             4.289             12.709            0                 
65         900             4.378             4.378             4.378             13.087            0                 
66         203             4.507             4.507             4.507             12.925            0                 
67         20              4.66              4.66              4.66              18.344            0                 
68         48              4.836             4.836             4.836             13.012            0                 
69         536             4.914             4.914             4.914             13.092            0                 
